LA Carseldine,0
Robin Peterson,0
Arindam Ghosh,0
GR Napier,0
Sreenath Aravind,0
Vikramjeet Malik,0
Abhinav Mukund,0
LPC Silva,0
Mohammad Hafeez,0
Joginder Sharma,0
Sean Abbott,0
RS Sodhi,0
Colin Munro,0
Adrian Barath,0
J Arunkumar,0
Brad Haddin,0
Asad Pathan,0
Rahul Shukla,0
Darren Lehmann,0
Harshal Patel,0
Amit Yadav,0
Juan Theron,0
P Parameswaran,0
Abhimanyu Mithun,0
Doug Bollinger,0
Ishank Jaggi,0
SS Shaikh,0
Sumit Narwal,0
Doug Bracewell,0
VS Yeligati,0
Rahul Tewatia,0
Damien Martyn,0
Ankeet Chavan,0
Siddharth Trivedi,0
Mashrafe Mortaza,0
Nic Maddinson,0
Kevon Cooper,0
Anustup Majumdar,0
Lakshmipathy Balaji,0
MA Khote,0
Bodapati Sumanth,0
DT Patil,0
Raiphi Gomez,0
Tim Southee,0
Bhargav Bhatt,0
SB Bangar,0
I Malhotra,0
Luke Wright,0
Ben Dunk,0
S Sriram,0
Sachin Rana,0
Vijay Zol,0
Jagadeesha Suchith,0
Parveez Rasool,0
Sunil Narine,0
RR Raje,0
Kyle Abbott,0
Sam Billings,0
Sunny Singh,0
Nikhil Naik,0
Ankit Sharma,0
WA Mota,0
Mahesh Rawat,0
Pradeep Sahu,0
Aakash Chopra,0
Ben Cutting,0
Balachandra Akhil,0
Amit Paunikar,0
Mitchell McClenaghan,0
KC Cariappa,0
Ashish Nehra,0
Nathan McCullum,0
Umesh Yadav,0
Ishant Sharma,0
Shoaib Malik,0
Carlos Brathwaite,0
Sohail Tanvir,0
DNT Zoysa,0
C Madan,0
Krishnakant Upadhyay,0
Colin Ingram,0
Anirudh Singh,0
Umar Gul,0
Nathan Coulter0Nile,0
Shadab Jakati,0
Luke Ronchi,0
Kane Richardson,0
Farhaan Behardien,0
Munaf Patel,0
Tatenda Taibu,0
Aditya Dole,0
Jimmy Neesham,0
Shaun Tait,0
RP Singh,0
Travis Birt,0
Alfonso Thomas,0
Manpreet Gony,0
Shardul Thakur,0
Iqbal Abdulla,0
Charl Langeveldt,0
Eklavya Dwivedi,0
DP Vijaykumar,0
Ronit More,0
Ashley Noffke,0
Barinder Sran,0
Richard Levi,0
Anil Kumble,0
JM Kemp,0
Jason Holder,0
Travis Head,0
Y Gnaneswara Rao,0
Ishan Kishan,0
Kemar Roach,0
R Bishnoi,0
Shalabh Srivastava,0
VRV Singh,0
Michael Klinger,0
Mohit Sharma,0
Shivnarine Chanderpaul,0
Varun Aaron,0
Wayne Parnell,0
Andrew Flintoff,0
Dinesh Salunkhe,0
Dominic Thornely,0
Ravi Rampaul,0
Martin Guptill,0
JJ van der Wath,0
Yuzvendra Chahal,0
Azhar Bilakhia,0
Nathan Rimmington,0
Rilee Rossouw,0
Ramesh Powar,0
Ramnaresh Sarwan,0
Shahid Afridi,0
Chris Gayle,1
David Warner,1
AB de Villiers,1
Ajinkya Rahane,1
Jacques Kallis,1
Robin Uthappa,1
Shikhar Dhawan,1
MS Dhoni,1
Kevin Pietersen,2
Matthew Hayden,2
Andrew Symonds,2
Herschelle Gibbs,2
Graeme Smith,2
Eoin Morgan,2
Lendl Simmons,2
Manvinder Bisla,2
Mandeep Singh,2
Karun Nair,2
Mayank Agarwal,2
Cameron White,2
Sanju Samson,2
Manoj Tiwary,3
Ravindra Jadeja,3
Naman Ojha,3
Kieron Pollard,3
Kumar Sangakkara,3
Dwayne Smith,3
Sourav Ganguly,3
Subramaniam Badrinath,3
Saurabh Tiwary,4
Brad Hodge,4
Francois du Plessis,4
Tillakaratne Dilshan,4
Wriddhiman Saha,4
Aaron Finch,4
Dwayne Bravo,4
Irfan Pathan,4
Steve Smith,4
David Hussey,4
David Miller,4
Yusuf Pathan,5
Rahul Dravid,5
Brendon McCullum,5
Sachin Tendulkar,5
Virender Sehwag,5
Yuvraj Singh,5
Shane Watson,5
Ambati Rayudu,5
Murali Vijay,5
Angelo Mathews,6
Paul Valthaty,6
Mithun Manhas,6
Manan Vohra,6
Tirumalasetti Suman,6
Abhishek Nayar,6
Harbhajan Singh,6
Ravi Bopara,6
Jesse Ryder,6
Sanath Jayasuriya,6
Stuart Binny,6
Moises Henriques,6
George Bailey,6
